Region,Codigo region,Comuna,Codigo comuna,Poblacion,2020-03-30,2020-04-01,2020-04-03,2020-04-06,2020-04-08,2020-04-10,2020-04-13,2020-04-15,2020-04-17,2020-04-20,2020-04-24,2020-04-27,2020-05-01,2020-05-04,2020-05-08,2020-05-11,2020-05-15,2020-05-18,2020-05-22,2020-05-25,2020-05-29,2020-06-01,2020-06-05,2020-06-08,2020-06-12,2020-06-15,Tasa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atacama,3.0,Alto del Carmen,3302.0,5729.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,4.0,69.8
Atacama,3.0,Caldera,3102.0,19426.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,4.0,5.0,5.0,5.0,6.0,7.0,9.0,10.0,13.0,14.0,72.1
Atacama,3.0,Chanaral,3201.0,13164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,22.8
Atacama,3.0,Copiapo,3101.0,171766.0,0.0,0.0,4.0,4.0,5.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,19.0,34.0,48.0,67.0,71.0,82.0,96.0,100.0,115.0,135.0,160.0,207.0,259.0,297.0,172.9
Atacama,3.0,Diego de Almagro,3202.0,14358.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,5.0,8.0,12.0,12.0,13.0,15.0,19.0,25.0,174.1
Atacama,3.0,Freirina,3303.0,7681.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,26.0
Atacama,3.0,Huasco,3304.0,11264.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,8.0,9.0,79.9
Atacama,3.0,Tierra Amarilla,3103.0,14312.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,5.0,6.0,7.0,9.0,9.0,19.0,22.0,23.0,23.0,23.0,24.0,24.0,25.0,26.0,30.0,35.0,244.6
Atacama,3.0,Vallenar,3301.0,57009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,13.0,17.0,24.0,28.0,41.0,42.0,43.0,46.0,48.0,50.0,56.0,65.0,80.0,84.0,100.0,175.4
Atacama,3.0,Total,,314709.0,2.0,3.0,5.0,5.0,8.0,13.0,13.0,13.0,13.0,14.0,21.0,29.0,45.0,72.0,90.0,135.0,144.0,158.0,177.0,186.0,210.0,237.0,277.0,347.0,420.0,489.0,155.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coquimbo,4.0,Andacollo,4103.0,11791.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,13.0,13.0,17.0,19.0,25.0,25.0,212.0
Coquimbo,4.0,Canela,4202.0,9546.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,4.0,6.0,6.0,62.9
Coquimbo,4.0,Combarbala,4302.0,13884.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,6.0,7.0,9.0,14.0,14.0,20.0,20.0,20.0,144.1
Coquimbo,4.0,Coquimbo,4102.0,256735.0,17.0,19.0,19.0,19.0,19.0,21.0,21.0,19.0,20.0,23.0,24.0,26.0,29.0,31.0,35.0,38.0,49.0,56.0,67.0,74.0,192.0,202.0,281.0,363.0,470.0,543.0,211.5
Coquimbo,4.0,Illapel,4201.0,32801.0,0.0,0.0,0.0,7.0,12.0,13.0,17.0,19.0,19.0,18.0,18.0,18.0,18.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,21.0,25.0,31.0,43.0,53.0,55.0,167.7
Coquimbo,4.0,La Higuera,4104.0,4450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,3.0,67.4
Coquimbo,4.0,La Serena,4101.0,249656.0,0.0,0.0,8.0,12.0,12.0,12.0,12.0,12.0,12.0,16.0,18.0,19.0,20.0,27.0,33.0,40.0,57.0,63.0,89.0,117.0,145.0,186.0,205.0,260.0,350.0,419.0,167.8
Coquimbo,4.0,Los Vilos,4203.0,23374.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,6.0,8.0,11.0,13.0,55.6
Coquimbo,4.0,Monte Patria,4303.0,32527.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,17.0,20.0,29.0,43.0,55.0,68.0,82.0,100.0,307.4
Coquimbo,4.0,Ovalle,4301.0,121269.0,4.0,4.0,4.0,7.0,7.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,10.0,11.0,16.0,24.0,35.0,48.0,59.0,70.0,97.0,137.0,171.0,257.0,329.0,402.0,331.5
Coquimbo,4.0,Paiguano,4105.0,4675.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,4.0,5.0,107.0
Coquimbo,4.0,Punitaqui,4304.0,12165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,5.0,8.0,8.0,8.0,10.0,11.0,13.0,14.0,17.0,26.0,31.0,33.0,271.3
Coquimbo,4.0,Rio Hurtado,4305.0,4372.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,7.0,10.0,13.0,14.0,320.2
Coquimbo,4.0,Salamanca,4204.0,29110.0,0.0,0.0,0.0,4.0,4.0,5.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,8.0,9.0,10.0,12.0,10.0,11.0,12.0,14.0,19.0,22.0,37.0,42.0,44.0,151.2
Coquimbo,4.0,Vicuna,4106.0,29741.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,7.0,10.0,12.0,14.0,14.0,17.0,19.0,21.0,23.0,77.3
Coquimbo,4.0,Total,,836096.0,27.0,30.0,35.0,51.0,56.0,61.0,66.0,66.0,68.0,75.0,79.0,82.0,88.0,104.0,124.0,149.0,197.0,227.0,297.0,351.0,552.0,681.0,851.0,1139.0,1460.0,1705.0,203.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valparaiso,5.0,Algarrobo,5602.0,15174.0,7.0,7.0,9.0,9.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,12.0,14.0,19.0,23.0,32.0,33.0,36.0,42.0,48.0,57.0,67.0,72.0,474.5
Valparaiso,5.0,Cabildo,5402.0,20663.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,5.0,5.0,6.0,7.0,9.0,11.0,13.0,18.0,18.0,24.0,32.0,36.0,42.0,203.3
Valparaiso,5.0,Calera,5502.0,53591.0,6.0,6.0,7.0,7.0,9.0,9.0,9.0,11.0,13.0,16.0,22.0,22.0,22.0,22.0,22.0,25.0,28.0,31.0,39.0,42.0,51.0,64.0,82.0,94.0,112.0,141.0,263.1
Valparaiso,5.0,Calle Larga,5302.0,16482.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,5.0,6.0,6.0,6.0,6.0,10.0,10.0,12.0,12.0,20.0,23.0,36.0,44.0,61.0,81.0,90.0,99.0,600.7
Valparaiso,5.0,Cartagena,5603.0,25357.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,6.0,6.0,8.0,9.0,14.0,15.0,21.0,23.0,31.0,36.0,42.0,46.0,54.0,61.0,66.0,68.0,268.2
Valparaiso,5.0,Casablanca,5102.0,29170.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,13.0,13.0,21.0,21.0,23.0,26.0,35.0,43.0,58.0,63.0,216.0
Valparaiso,5.0,Catemu,5702.0,15213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,4.0,5.0,7.0,10.0,10.0,17.0,27.0,38.0,44.0,289.2
Valparaiso,5.0,Concon,5103.0,45889.0,0.0,0.0,7.0,7.0,0.0,0.0,6.0,7.0,7.0,7.0,13.0,14.0,19.0,20.0,23.0,25.0,29.0,37.0,43.0,44.0,49.0,66.0,72.0,90.0,105.0,120.0,261.5
Valparaiso,5.0,El Quisco,5604.0,17742.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,6.0,8.0,11.0,11.0,11.0,12.0,16.0,18.0,23.0,26.0,30.0,33.0,44.0,51.0,66.0,69.0,82.0,82.0,462.2
Valparaiso,5.0,El Tabo,5605.0,14338.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,6.0,6.0,9.0,9.0,13.0,13.0,14.0,16.0,23.0,24.0,29.0,31.0,37.0,41.0,61.0,70.0,72.0,72.0,502.2
Valparaiso,5.0,Hijuelas,5503.0,19099.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,5.0,6.0,13.0,18.0,29.0,33.0,38.0,45.0,235.6
Valparaiso,5.0,Isla de Pascua,5201.0,8277.0,0.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,60.4
Valparaiso,5.0,Juan Fernandez,5104.0,1033.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Valparaiso,5.0,La Cruz,5504.0,25321.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,7.0,8.0,8.0,9.0,10.0,14.0,17.0,19.0,22.0,24.0,24.0,26.0,28.0,33.0,36.0,49.0,57.0,225.1
Valparaiso,5.0,La Ligua,5401.0,37739.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,8.0,9.0,15.0,15.0,28.0,46.0,50.0,68.0,180.2
Valparaiso,5.0,Limache,5802.0,49931.0,0.0,0.0,0.0,4.0,5.0,7.0,8.0,13.0,20.0,20.0,23.0,23.0,23.0,22.0,25.0,28.0,47.0,54.0,68.0,79.0,85.0,94.0,125.0,146.0,179.0,205.0,410.6
Valparaiso,5.0,Llaillay,5703.0,26533.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,5.0,11.0,14.0,33.0,37.0,53.0,54.0,67.0,85.0,98.0,114.0,429.7
Valparaiso,5.0,Los Andes,5301.0,68093.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,7.0,9.0,9.0,6.0,7.0,9.0,9.0,15.0,25.0,28.0,35.0,72.0,92.0,128.0,146.0,194.0,273.0,323.0,370.0,543.4
Valparaiso,5.0,Nogales,5506.0,23490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,9.0,12.0,14.0,16.0,21.0,25.0,28.0,34.0,144.7
Valparaiso,5.0,Olmue,5803.0,19266.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,6.0,8.0,15.0,17.0,24.0,25.0,28.0,36.0,186.9
Valparaiso,5.0,Panquehue,5704.0,7633.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,5.0,8.0,8.0,14.0,17.0,20.0,22.0,288.2
Valparaiso,5.0,Papudo,5403.0,6201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,7.0,7.0,14.0,16.0,17.0,22.0,354.8
Valparaiso,5.0,Petorca,5404.0,10558.0,0.0,0.0,0.0,5.0,4.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,10.0,11.0,14.0,15.0,21.0,21.0,23.0,25.0,236.8
Valparaiso,5.0,Puchuncavi,5105.0,20071.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,7.0,15.0,18.0,24.0,35.0,49.0,244.1
Valparaiso,5.0,Putaendo,5705.0,17645.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,5.0,5.0,5.0,6.0,6.0,7.0,12.0,12.0,15.0,21.0,22.0,24.0,26.0,34.0,49.0,63.0,72.0,408.0
Valparaiso,5.0,Quillota,5501.0,97572.0,6.0,7.0,9.0,9.0,13.0,13.0,16.0,18.0,19.0,20.0,22.0,22.0,24.0,26.0,28.0,31.0,39.0,48.0,56.0,59.0,66.0,80.0,107.0,138.0,214.0,280.0,287.0
Valparaiso,5.0,Quilpue,5801.0,167085.0,11.0,10.0,11.0,12.0,15.0,18.0,20.0,21.0,22.0,27.0,30.0,30.0,38.0,40.0,50.0,55.0,88.0,104.0,124.0,155.0,188.0,226.0,285.0,321.0,368.0,410.0,245.4
Valparaiso,5.0,Quintero,5107.0,36135.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,4.0,4.0,4.0,6.0,9.0,10.0,10.0,14.0,16.0,23.0,29.0,33.0,41.0,56.0,79.0,97.0,122.0,148.0,168.0,464.9
Valparaiso,5.0,Rinconada,5303.0,11263.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,5.0,10.0,18.0,26.0,34.0,48.0,53.0,67.0,76.0,674.8
Valparaiso,5.0,San Antonio,5601.0,96761.0,0.0,4.0,8.0,9.0,9.0,13.0,17.0,19.0,28.0,34.0,46.0,53.0,72.0,86.0,125.0,147.0,191.0,225.0,280.0,286.0,359.0,389.0,472.0,538.0,616.0,633.0,654.2
Valparaiso,5.0,San Esteban,5304.0,20643.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,3.0,5.0,8.0,9.0,11.0,14.0,17.0,18.0,20.0,29.0,43.0,53.0,61.0,295.5
Valparaiso,5.0,San Felipe,5701.0,83494.0,0.0,0.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,9.0,9.0,12.0,17.0,30.0,37.0,72.0,87.0,112.0,129.0,187.0,267.0,356.0,403.0,482.7
Valparaiso,5.0,Santa Maria,5706.0,16367.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,13.0,16.0,19.0,20.0,20.0,20.0,26.0,26.0,30.0,30.0,33.0,46.0,59.0,62.0,378.8
Valparaiso,5.0,Santo Domingo,5606.0,11934.0,,0.0,0.0,0.0,5.0,5.0,5.0,10.0,11.0,12.0,17.0,17.0,19.0,22.0,21.0,25.0,29.0,33.0,35.0,35.0,38.0,41.0,50.0,57.0,78.0,78.0,653.6
Valparaiso,5.0,Valparaiso,5101.0,315732.0,16.0,26.0,23.0,26.0,36.0,39.0,44.0,45.0,51.0,59.0,67.0,68.0,95.0,109.0,169.0,190.0,255.0,300.0,354.0,412.0,482.0,593.0,765.0,922.0,1114.0,1322.0,418.7
Valparaiso,5.0,Villa Alemana,5804.0,139310.0,6.0,8.0,11.0,11.0,12.0,12.0,12.0,12.0,13.0,13.0,14.0,15.0,17.0,19.0,36.0,45.0,64.0,77.0,109.0,122.0,147.0,172.0,233.0,288.0,326.0,370.0,265.6
Valparaiso,5.0,Vina del Mar,5109.0,361371.0,29.0,38.0,47.0,53.0,66.0,69.0,72.0,75.0,84.0,94.0,103.0,109.0,123.0,135.0,168.0,200.0,275.0,327.0,408.0,476.0,589.0,724.0,861.0,992.0,1168.0,1314.0,363.6
Valparaiso,5.0,Zapallar,5405.0,7994.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,37.5
Valparaiso,5.0,Total,,1960170.0,102.0,136.0,176.0,198.0,225.0,241.0,273.0,299.0,345.0,390.0,455.0,481.0,588.0,646.0,853.0,998.0,1344.0,1586.0,2054.0,2336.0,2874.0,3392.0,4317.0,5215.0,6252.0,7107.0,362.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metropolitana,13.0,Alhue,13502.0,7405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,7.0,7.0,10.0,16.0,22.0,297.1
Metropolitana,13.0,Buin,13402.0,109641.0,7.0,8.0,14.0,20.0,20.0,29.0,36.0,40.0,43.0,47.0,53.0,60.0,81.0,92.0,114.0,152.0,216.0,258.0,358.0,432.0,471.0,540.0,692.0,815.0,978.0,1044.0,952.2
Metropolitana,13.0,Calera de Tango,13403.0,28525.0,6.0,7.0,7.0,7.0,8.0,8.0,10.0,10.0,11.0,14.0,15.0,15.0,17.0,17.0,21.0,23.0,29.0,32.0,50.0,66.0,83.0,93.0,109.0,146.0,186.0,200.0,701.1
Metropolitana,13.0,Cerrillos,13102.0,88956.0,0.0,4.0,4.0,5.0,11.0,21.0,29.0,39.0,48.0,53.0,66.0,80.0,129.0,241.0,308.0,329.0,432.0,485.0,639.0,758.0,876.0,994.0,1123.0,1231.0,1410.0,1545.0,1736.8
Metropolitana,13.0,Cerro Navia,13103.0,142465.0,19.0,21.0,26.0,31.0,36.0,42.0,57.0,65.0,79.0,99.0,118.0,135.0,179.0,227.0,284.0,387.0,476.0,541.0,851.0,993.0,1230.0,1596.0,1892.0,2149.0,2576.0,3075.0,2158.4
Metropolitana,13.0,Colina,13301.0,180353.0,32.0,39.0,47.0,50.0,62.0,66.0,74.0,77.0,81.0,90.0,95.0,103.0,129.0,152.0,230.0,289.0,429.0,490.0,781.0,999.0,1259.0,1451.0,1742.0,1986.0,2267.0,2521.0,1397.8
Metropolitana,13.0,Conchali,13104.0,139195.0,14.0,18.0,22.0,32.0,38.0,47.0,52.0,56.0,64.0,80.0,98.0,113.0,187.0,295.0,406.0,470.0,626.0,708.0,1063.0,1370.0,1773.0,2010.0,2330.0,2542.0,2855.0,3244.0,2330.5
Metropolitana,13.0,Curacavi,13503.0,36430.0,5.0,5.0,5.0,8.0,9.0,10.0,13.0,14.0,14.0,14.0,15.0,15.0,19.0,23.0,25.0,35.0,65.0,83.0,116.0,149.0,203.0,272.0,335.0,402.0,444.0,477.0,1309.4
Metropolitana,13.0,El Bosque,13105.0,172000.0,18.0,28.0,35.0,37.0,46.0,64.0,83.0,93.0,107.0,127.0,145.0,177.0,236.0,275.0,377.0,439.0,612.0,728.0,1026.0,1164.0,1448.0,1654.0,2027.0,2418.0,2784.0,3176.0,1846.5
Metropolitana,13.0,El Monte,13602.0,40014.0,0.0,0.0,0.0,5.0,7.0,9.0,10.0,10.0,12.0,12.0,13.0,16.0,21.0,21.0,24.0,29.0,31.0,52.0,80.0,91.0,117.0,152.0,215.0,252.0,317.0,412.0,1029.6
