Entity,Code,Date,Total confirmed deaths per million (deaths per million),Daily confirmed deaths per million (deaths per million)
Africa,,"Mar 30, 2020",0.107,0.014
Africa,,"Mar 31, 2020",0.124,0.017
Africa,,"Apr 1, 2020",0.141,0.017
Africa,,"Apr 2, 2020",0.167,0.026
Africa,,"Apr 3, 2020",0.191,0.024
Africa,,"Apr 4, 2020",0.228,0.037
Africa,,"Apr 5, 2020",0.283,0.055
Africa,,"Apr 6, 2020",0.324,0.041
Africa,,"Apr 7, 2020",0.356,0.032
Africa,,"Apr 8, 2020",0.389,0.034
Africa,,"Apr 9, 2020",0.427,0.038
Africa,,"Apr 10, 2020",0.47,0.043
Africa,,"Apr 11, 2020",0.515,0.046
Africa,,"Apr 12, 2020",0.554,0.039
Africa,,"Apr 13, 2020",0.589,0.034
Africa,,"Apr 14, 2020",0.623,0.034
Africa,,"Apr 15, 2020",0.653,0.031
Africa,,"Apr 16, 2020",0.68,0.026
Africa,,"Apr 17, 2020",0.72,0.04
Africa,,"Apr 18, 2020",0.758,0.038
Africa,,"Apr 19, 2020",0.788,0.031
Africa,,"Apr 20, 2020",0.835,0.047
Africa,,"Apr 21, 2020",0.862,0.026
Africa,,"Apr 22, 2020",0.887,0.025
Africa,,"Apr 23, 2020",0.919,0.032
Africa,,"Apr 24, 2020",0.959,0.04
Africa,,"Apr 25, 2020",0.995,0.036
Africa,,"Apr 26, 2020",1.028,0.033
Africa,,"Apr 27, 2020",1.055,0.028
Africa,,"Apr 28, 2020",1.097,0.041
Africa,,"Apr 29, 2020",1.137,0.04
Africa,,"Apr 30, 2020",1.187,0.05
Africa,,"May 1, 2020",1.22,0.033
Africa,,"May 2, 2020",1.261,0.041
Africa,,"May 3, 2020",1.313,0.052
Africa,,"May 4, 2020",1.342,0.029
Africa,,"May 5, 2020",1.376,0.034
Africa,,"May 6, 2020",1.428,0.051
Africa,,"May 7, 2020",1.5,0.072
Africa,,"May 8, 2020",1.55,0.05
Africa,,"May 9, 2020",1.607,0.057
Albania,ALB,"Mar 12, 2020",0.347,0.347
Albania,ALB,"Mar 13, 2020",0.347,
Albania,ALB,"Mar 14, 2020",0.347,
Albania,ALB,"Mar 15, 2020",0.347,
Albania,ALB,"Mar 16, 2020",0.347,
Albania,ALB,"Mar 17, 2020",0.347,
Albania,ALB,"Mar 18, 2020",0.347,
Albania,ALB,"Mar 19, 2020",0.695,0.347
Albania,ALB,"Mar 20, 2020",0.695,
Albania,ALB,"Mar 21, 2020",0.695,
Albania,ALB,"Mar 22, 2020",0.695,
Albania,ALB,"Mar 23, 2020",0.695,
Albania,ALB,"Mar 24, 2020",1.39,0.695
Albania,ALB,"Mar 25, 2020",1.737,0.347
Albania,ALB,"Mar 26, 2020",1.737,
Albania,ALB,"Mar 27, 2020",2.085,0.347
Albania,ALB,"Mar 28, 2020",3.127,1.042
Albania,ALB,"Mar 29, 2020",3.475,0.347
Albania,ALB,"Mar 30, 2020",3.475,
Albania,ALB,"Mar 31, 2020",4.17,0.695
Albania,ALB,"Apr 1, 2020",5.212,1.042
Albania,ALB,"Apr 2, 2020",5.212,
Albania,ALB,"Apr 3, 2020",5.56,0.347
Albania,ALB,"Apr 4, 2020",5.907,0.347
Albania,ALB,"Apr 5, 2020",6.602,0.695
Albania,ALB,"Apr 6, 2020",7.297,0.695
Albania,ALB,"Apr 7, 2020",7.645,0.347
Albania,ALB,"Apr 8, 2020",7.645,
Albania,ALB,"Apr 9, 2020",7.645,
Albania,ALB,"Apr 10, 2020",7.992,0.347
Albania,ALB,"Apr 11, 2020",7.992,
Albania,ALB,"Apr 12, 2020",7.992,
Albania,ALB,"Apr 13, 2020",7.992,
Albania,ALB,"Apr 14, 2020",7.992,
Albania,ALB,"Apr 15, 2020",8.34,0.347
Albania,ALB,"Apr 16, 2020",8.687,0.347
Albania,ALB,"Apr 17, 2020",9.035,0.347
Albania,ALB,"Apr 18, 2020",9.035,
Albania,ALB,"Apr 19, 2020",9.035,
Albania,ALB,"Apr 20, 2020",9.035,
Albania,ALB,"Apr 21, 2020",9.035,
Albania,ALB,"Apr 22, 2020",9.035,
Albania,ALB,"Apr 23, 2020",9.382,0.347
Albania,ALB,"Apr 24, 2020",9.382,
Albania,ALB,"Apr 25, 2020",9.382,
Albania,ALB,"Apr 26, 2020",9.382,
Albania,ALB,"Apr 27, 2020",9.73,0.347
Albania,ALB,"Apr 28, 2020",9.73,
Albania,ALB,"Apr 29, 2020",10.425,0.695
Albania,ALB,"Apr 30, 2020",10.772,0.347
Albania,ALB,"May 1, 2020",10.772,
Albania,ALB,"May 2, 2020",10.772,
Albania,ALB,"May 3, 2020",10.772,
Albania,ALB,"May 4, 2020",10.772,
Albania,ALB,"May 5, 2020",10.772,
Albania,ALB,"May 6, 2020",10.772,
Albania,ALB,"May 7, 2020",10.772,
Albania,ALB,"May 8, 2020",10.772,
Albania,ALB,"May 9, 2020",10.772,
Algeria,DZA,"Mar 13, 2020",0.023,0.023
Algeria,DZA,"Mar 14, 2020",0.046,0.023
Algeria,DZA,"Mar 15, 2020",0.046,
Algeria,DZA,"Mar 16, 2020",0.091,0.046
Algeria,DZA,"Mar 17, 2020",0.091,
Algeria,DZA,"Mar 18, 2020",0.114,0.023
Algeria,DZA,"Mar 19, 2020",0.137,0.023
Algeria,DZA,"Mar 20, 2020",0.16,0.023
Algeria,DZA,"Mar 21, 2020",0.228,0.068
Algeria,DZA,"Mar 22, 2020",0.342,0.114
Algeria,DZA,"Mar 23, 2020",0.388,0.046
Algeria,DZA,"Mar 24, 2020",0.388,
Algeria,DZA,"Mar 25, 2020",0.433,0.046
Algeria,DZA,"Mar 26, 2020",0.479,0.046
Algeria,DZA,"Mar 27, 2020",0.57,0.091
Algeria,DZA,"Mar 28, 2020",0.593,0.023
Algeria,DZA,"Mar 29, 2020",0.661,0.068
Algeria,DZA,"Mar 30, 2020",0.707,0.046
Algeria,DZA,"Mar 31, 2020",0.798,0.091
Algeria,DZA,"Apr 1, 2020",1.003,0.205
Algeria,DZA,"Apr 2, 2020",1.323,0.319
Algeria,DZA,"Apr 3, 2020",1.437,0.114
Algeria,DZA,"Apr 4, 2020",2.394,0.958
Algeria,DZA,"Apr 5, 2020",2.965,0.57
Algeria,DZA,"Apr 6, 2020",3.466,0.502
Algeria,DZA,"Apr 7, 2020",3.945,0.479
Algeria,DZA,"Apr 8, 2020",4.401,0.456
Algeria,DZA,"Apr 9, 2020",4.675,0.274
Algeria,DZA,"Apr 10, 2020",5.359,0.684
Algeria,DZA,"Apr 11, 2020",5.838,0.479
Algeria,DZA,"Apr 12, 2020",6.271,0.433
Algeria,DZA,"Apr 13, 2020",6.682,0.41
Algeria,DZA,"Apr 14, 2020",7.138,0.456
Algeria,DZA,"Apr 15, 2020",7.411,0.274
Algeria,DZA,"Apr 16, 2020",7.662,0.251
Algeria,DZA,"Apr 17, 2020",7.936,0.274
Algeria,DZA,"Apr 18, 2020",8.301,0.365
Algeria,DZA,"Apr 19, 2020",8.369,0.068
Algeria,DZA,"Apr 20, 2020",8.552,0.182
Algeria,DZA,"Apr 21, 2020",8.757,0.205
Algeria,DZA,"Apr 22, 2020",8.939,0.182
Algeria,DZA,"Apr 23, 2020",9.167,0.228
Algeria,DZA,"Apr 24, 2020",9.281,0.114
Algeria,DZA,"Apr 25, 2020",9.464,0.182
Algeria,DZA,"Apr 26, 2020",9.555,0.091
Algeria,DZA,"Apr 27, 2020",9.692,0.137
Algeria,DZA,"Apr 28, 2020",9.852,0.16
Algeria,DZA,"Apr 29, 2020",9.966,0.114
Algeria,DZA,"Apr 30, 2020",10.125,0.16
Algeria,DZA,"May 1, 2020",10.262,0.137
Algeria,DZA,"May 2, 2020",10.33,0.068
Algeria,DZA,"May 3, 2020",10.467,0.137
Algeria,DZA,"May 4, 2020",10.558,0.091
Algeria,DZA,"May 5, 2020",10.604,0.046
Algeria,DZA,"May 6, 2020",10.718,0.114
Algeria,DZA,"May 7, 2020",10.855,0.137
Algeria,DZA,"May 8, 2020",11.015,0.16
Algeria,DZA,"May 9, 2020",11.129,0.114
Andorra,AND,"Mar 27, 2020",38.827,38.827
Andorra,AND,"Mar 28, 2020",38.827,
Andorra,AND,"Mar 29, 2020",51.77,12.942
Andorra,AND,"Mar 30, 2020",77.655,25.885
Andorra,AND,"Mar 31, 2020",103.54,25.885
Andorra,AND,"Apr 1, 2020",155.31,51.77
Andorra,AND,"Apr 2, 2020",181.195,25.885
Andorra,AND,"Apr 3, 2020",194.137,12.942
Andorra,AND,"Apr 4, 2020",207.08,12.942
Andorra,AND,"Apr 5, 2020",220.022,12.942
Andorra,AND,"Apr 6, 2020",232.964,12.942
Andorra,AND,"Apr 7, 2020",271.792,38.827
Andorra,AND,"Apr 8, 2020",284.734,12.942
Andorra,AND,"Apr 9, 2020",297.677,12.942
Andorra,AND,"Apr 10, 2020",323.562,25.885
Andorra,AND,"Apr 11, 2020",336.504,12.942
Andorra,AND,"Apr 12, 2020",362.389,25.885
Andorra,AND,"Apr 13, 2020",375.332,12.942
Andorra,AND,"Apr 14, 2020",375.332,
Andorra,AND,"Apr 15, 2020",401.217,25.885
Andorra,AND,"Apr 16, 2020",427.102,25.885
Andorra,AND,"Apr 17, 2020",427.102,
Andorra,AND,"Apr 18, 2020",452.986,25.885
Andorra,AND,"Apr 19, 2020",452.986,
Andorra,AND,"Apr 20, 2020",465.929,12.942
Andorra,AND,"Apr 21, 2020",465.929,
Andorra,AND,"Apr 22, 2020",478.871,12.942
Andorra,AND,"Apr 23, 2020",478.871,
Andorra,AND,"Apr 24, 2020",478.871,
Andorra,AND,"Apr 25, 2020",517.699,38.827
Andorra,AND,"Apr 26, 2020",517.699,
Andorra,AND,"Apr 27, 2020",517.699,
Andorra,AND,"Apr 28, 2020",517.699,
Andorra,AND,"Apr 29, 2020",530.641,12.942
Andorra,AND,"Apr 30, 2020",543.584,12.942
Andorra,AND,"May 1, 2020",543.584,
Andorra,AND,"May 2, 2020",556.526,12.942
Andorra,AND,"May 3, 2020",569.469,12.942
Andorra,AND,"May 4, 2020",582.411,12.942
Andorra,AND,"May 5, 2020",582.411,
Andorra,AND,"May 6, 2020",595.354,12.942
Andorra,AND,"May 7, 2020",595.354,
Andorra,AND,"May 8, 2020",608.296,12.942
Andorra,AND,"May 9, 2020",608.296,
Angola,AGO,"Mar 30, 2020",0.061,0.061
Angola,AGO,"Mar 31, 2020",0.061,
Angola,AGO,"Apr 1, 2020",0.061,
Angola,AGO,"Apr 2, 2020",0.061,
Angola,AGO,"Apr 3, 2020",0.061,
Angola,AGO,"Apr 4, 2020",0.061,
Angola,AGO,"Apr 5, 2020",0.061,
Angola,AGO,"Apr 6, 2020",0.061,
Angola,AGO,"Apr 7, 2020",0.061,
Angola,AGO,"Apr 8, 2020",0.061,
Angola,AGO,"Apr 9, 2020",0.061,
Angola,AGO,"Apr 10, 2020",0.061,
Angola,AGO,"Apr 11, 2020",0.061,
Angola,AGO,"Apr 12, 2020",0.061,
Angola,AGO,"Apr 13, 2020",0.061,
Angola,AGO,"Apr 14, 2020",0.061,
Angola,AGO,"Apr 15, 2020",0.061,
Angola,AGO,"Apr 16, 2020",0.061,
Angola,AGO,"Apr 17, 2020",0.061,
Angola,AGO,"Apr 18, 2020",0.061,
Angola,AGO,"Apr 19, 2020",0.061,
Angola,AGO,"Apr 20, 2020",0.061,
Angola,AGO,"Apr 21, 2020",0.061,
Angola,AGO,"Apr 22, 2020",0.061,
Angola,AGO,"Apr 23, 2020",0.061,
Angola,AGO,"Apr 24, 2020",0.061,
Angola,AGO,"Apr 25, 2020",0.061,
Angola,AGO,"Apr 26, 2020",0.061,
Angola,AGO,"Apr 27, 2020",0.061,
Angola,AGO,"Apr 28, 2020",0.061,
Angola,AGO,"Apr 29, 2020",0.061,
Angola,AGO,"Apr 30, 2020",0.061,
Angola,AGO,"May 1, 2020",0.061,
Angola,AGO,"May 2, 2020",0.061,
Angola,AGO,"May 3, 2020",0.061,
Angola,AGO,"May 4, 2020",0.061,
Angola,AGO,"May 5, 2020",0.061,
Angola,AGO,"May 6, 2020",0.061,
Angola,AGO,"May 7, 2020",0.061,
Angola,AGO,"May 8, 2020",0.061,
Angola,AGO,"May 9, 2020",0.061,
Antigua and Barbuda,ATG,"Apr 10, 2020",20.423,20.423
Antigua and Barbuda,ATG,"Apr 11, 2020",20.423,
Antigua and Barbuda,ATG,"Apr 12, 2020",20.423,
Antigua and Barbuda,ATG,"Apr 13, 2020",20.423,
Antigua and Barbuda,ATG,"Apr 14, 2020",20.423,
Antigua and Barbuda,ATG,"Apr 15, 2020",20.423,
Antigua and Barbuda,ATG,"Apr 16, 2020",20.423,
Antigua and Barbuda,ATG,"Apr 17, 2020",20.423,
Antigua and Barbuda,ATG,"Apr 18, 2020",20.423,
Antigua and Barbuda,ATG,"Apr 19, 2020",20.423,
Antigua and Barbuda,ATG,"Apr 20, 2020",20.423,
Antigua and Barbuda,ATG,"Apr 21, 2020",30.635,10.212
Antigua and Barbuda,ATG,"Apr 22, 2020",30.635,
Antigua and Barbuda,ATG,"Apr 23, 2020",30.635,
Antigua and Barbuda,ATG,"Apr 24, 2020",30.635,
Antigua and Barbuda,ATG,"Apr 25, 2020",30.635,
Antigua and Barbuda,ATG,"Apr 26, 2020",30.635,
Antigua and Barbuda,ATG,"Apr 27, 2020",30.635,
Antigua and Barbuda,ATG,"Apr 28, 2020",30.635,
Antigua and Barbuda,ATG,"Apr 29, 2020",30.635,
Antigua and Barbuda,ATG,"Apr 30, 2020",30.635,
Antigua and Barbuda,ATG,"May 1, 2020",30.635,
Antigua and Barbuda,ATG,"May 2, 2020",30.635,
Antigua and Barbuda,ATG,"May 3, 2020",30.635,
Antigua and Barbuda,ATG,"May 4, 2020",30.635,
Antigua and Barbuda,ATG,"May 5, 2020",30.635,
Antigua and Barbuda,ATG,"May 6, 2020",30.635,
Antigua and Barbuda,ATG,"May 7, 2020",30.635,
Antigua and Barbuda,ATG,"May 8, 2020",30.635,
Antigua and Barbuda,ATG,"May 9, 2020",30.635,
Argentina,ARG,"Mar 8, 2020",0.022,0.022
Argentina,ARG,"Mar 9, 2020",0.022,
Argentina,ARG,"Mar 11, 2020",0.022,
Argentina,ARG,"Mar 13, 2020",0.022,
Argentina,ARG,"Mar 14, 2020",0.044,0.022
Argentina,ARG,"Mar 15, 2020",0.044,
Argentina,ARG,"Mar 16, 2020",0.044,
Argentina,ARG,"Mar 17, 2020",0.044,
Argentina,ARG,"Mar 18, 2020",0.044,
Argentina,ARG,"Mar 19, 2020",0.044,
Argentina,ARG,"Mar 20, 2020",0.066,0.022
Argentina,ARG,"Mar 21, 2020",0.066,
Argentina,ARG,"Mar 22, 2020",0.089,0.022
Argentina,ARG,"Mar 23, 2020",0.089,
Argentina,ARG,"Mar 24, 2020",0.089,
Argentina,ARG,"Mar 25, 2020",0.133,0.044
Argentina,ARG,"Mar 26, 2020",0.177,0.044
Argentina,ARG,"Mar 27, 2020",0.266,0.089
Argentina,ARG,"Mar 28, 2020",0.376,0.111
Argentina,ARG,"Mar 29, 2020",0.42,0.044
Argentina,ARG,"Mar 30, 2020",0.443,0.022
Argentina,ARG,"Mar 31, 2020",0.531,0.089
Argentina,ARG,"Apr 1, 2020",0.531,
Argentina,ARG,"Apr 2, 2020",0.686,0.155
Argentina,ARG,"Apr 3, 2020",0.752,0.066
Argentina,ARG,"Apr 4, 2020",0.819,0.066
Argentina,ARG,"Apr 5, 2020",0.951,0.133
Argentina,ARG,"Apr 6, 2020",1.018,0.066
Argentina,ARG,"Apr 7, 2020",1.173,0.155
Argentina,ARG,"Apr 8, 2020",1.328,0.155
Argentina,ARG,"Apr 9, 2020",1.438,0.111
Argentina,ARG,"Apr 10, 2020",1.748,0.31
Argentina,ARG,"Apr 11, 2020",1.814,0.066
Argentina,ARG,"Apr 12, 2020",1.969,0.155
Argentina,ARG,"Apr 13, 2020",2.102,0.133
Argentina,ARG,"Apr 14, 2020",2.168,0.066
Argentina,ARG,"Apr 15, 2020",2.323,0.155
Argentina,ARG,"Apr 16, 2020",2.412,0.089
Argentina,ARG,"Apr 17, 2020",2.544,0.133
Argentina,ARG,"Apr 18, 2020",2.699,0.155
Argentina,ARG,"Apr 19, 2020",2.921,0.221
Argentina,ARG,"Apr 20, 2020",2.965,0.044
Argentina,ARG,"Apr 21, 2020",3.142,0.177
Argentina,ARG,"Apr 22, 2020",3.341,0.199
Argentina,ARG,"Apr 23, 2020",3.518,0.177
Argentina,ARG,"Apr 24, 2020",3.651,0.133
Argentina,ARG,"Apr 25, 2020",3.695,0.044
Argentina,ARG,"Apr 26, 2020",4.093,0.398
Argentina,ARG,"Apr 27, 2020",4.115,0.022
Argentina,ARG,"Apr 28, 2020",4.359,0.243
Argentina,ARG,"Apr 29, 2020",4.58,0.221
Argentina,ARG,"Apr 30, 2020",4.735,0.155
Argentina,ARG,"May 1, 2020",4.823,0.089
Argentina,ARG,"May 2, 2020",4.978,0.155
Argentina,ARG,"May 3, 2020",5.244,0.266
Argentina,ARG,"May 4, 2020",5.443,0.199
Argentina,ARG,"May 5, 2020",5.753,0.31
Argentina,ARG,"May 6, 2020",5.841,0.089
Argentina,ARG,"May 7, 2020",6.04,0.199
Argentina,ARG,"May 8, 2020",6.24,0.199
Argentina,ARG,"May 9, 2020",6.483,0.243
Armenia,ARM,"Mar 27, 2020",0.337,0.337
Armenia,ARM,"Mar 28, 2020",0.337,
Armenia,ARM,"Mar 29, 2020",1.012,0.675
Armenia,ARM,"Mar 30, 2020",1.012,
Armenia,ARM,"Mar 31, 2020",1.012,
Armenia,ARM,"Apr 1, 2020",1.012,
Armenia,ARM,"Apr 2, 2020",1.012,
Armenia,ARM,"Apr 3, 2020",1.35,0.337
Armenia,ARM,"Apr 4, 2020",2.362,1.012
Armenia,ARM,"Apr 5, 2020",2.362,
Armenia,ARM,"Apr 6, 2020",2.362,
Armenia,ARM,"Apr 7, 2020",2.7,0.337
Armenia,ARM,"Apr 8, 2020",2.7,
Armenia,ARM,"Apr 9, 2020",3.037,0.337
Armenia,ARM,"Apr 10, 2020",3.375,0.337
Armenia,ARM,"Apr 11, 2020",3.712,0.337
Armenia,ARM,"Apr 12, 2020",4.387,0.675
Armenia,ARM,"Apr 13, 2020",4.387,
Armenia,ARM,"Apr 14, 2020",4.725,0.337
Armenia,ARM,"Apr 15, 2020",5.737,1.012
Armenia,ARM,"Apr 16, 2020",6.074,0.337
Armenia,ARM,"Apr 17, 2020",6.412,0.337
Armenia,ARM,"Apr 18, 2020",6.749,0.337
Armenia,ARM,"Apr 19, 2020",6.749,
Armenia,ARM,"Apr 20, 2020",7.424,0.675
Armenia,ARM,"Apr 21, 2020",8.099,0.675
Armenia,ARM,"Apr 22, 2020",8.099,
Armenia,ARM,"Apr 23, 2020",8.099,
Armenia,ARM,"Apr 24, 2020",9.112,1.012
Armenia,ARM,"Apr 25, 2020",9.449,0.337
Armenia,ARM,"Apr 26, 2020",9.449,
Armenia,ARM,"Apr 27, 2020",9.787,0.337
Armenia,ARM,"Apr 28, 2020",10.124,0.337
Armenia,ARM,"Apr 29, 2020",10.124,
Armenia,ARM,"Apr 30, 2020",10.124,
Armenia,ARM,"May 1, 2020",10.799,0.675
Armenia,ARM,"May 2, 2020",11.136,0.337
Armenia,ARM,"May 3, 2020",11.136,
Armenia,ARM,"May 4, 2020",11.811,0.675
Armenia,ARM,"May 5, 2020",13.161,1.35
Armenia,ARM,"May 6, 2020",13.499,0.337
Armenia,ARM,"May 7, 2020",13.499,
Armenia,ARM,"May 8, 2020",14.174,0.675
Armenia,ARM,"May 9, 2020",14.511,0.337
Aruba,ABW,"Apr 16, 2020",9.366,9.366
Aruba,ABW,"Apr 17, 2020",9.366,
Aruba,ABW,"Apr 18, 2020",18.733,9.366
Aruba,ABW,"Apr 19, 2020",18.733,
Aruba,ABW,"Apr 20, 2020",18.733,
Aruba,ABW,"Apr 21, 2020",18.733,
Aruba,ABW,"Apr 22, 2020",18.733,
Aruba,ABW,"Apr 23, 2020",18.733,
Aruba,ABW,"Apr 24, 2020",18.733,
Aruba,ABW,"Apr 25, 2020",18.733,
Aruba,ABW,"Apr 26, 2020",18.733,
Aruba,ABW,"Apr 27, 2020",18.733,
Aruba,ABW,"Apr 28, 2020",18.733,
Aruba,ABW,"Apr 29, 2020",18.733,
Aruba,ABW,"Apr 30, 2020",18.733,
Aruba,ABW,"May 1, 2020",18.733,
Aruba,ABW,"May 2, 2020",18.733,
Aruba,ABW,"May 3, 2020",18.733,
Aruba,ABW,"May 4, 2020",18.733,
Aruba,ABW,"May 5, 2020",18.733,
Aruba,ABW,"May 6, 2020",18.733,
Aruba,ABW,"May 7, 2020",18.733,
Aruba,ABW,"May 8, 2020",28.099,9.366
Aruba,ABW,"May 9, 2020",28.099,
Asia,,"Jan 19, 2020",0.001,
Asia,,"Jan 20, 2020",0.001,
Asia,,"Jan 21, 2020",0.001,0.001
Asia,,"Jan 22, 2020",0.004,0.002
Asia,,"Jan 23, 2020",0.004,
Asia,,"Jan 24, 2020",0.006,0.002
Asia,,"Jan 25, 2020",0.009,0.003
Asia,,"Jan 26, 2020",0.012,0.003
Asia,,"Jan 27, 2020",0.017,0.005
Asia,,"Jan 28, 2020",0.023,0.005
Asia,,"Jan 29, 2020",0.028,0.006
Asia,,"Jan 30, 2020",0.037,0.008
Asia,,"Jan 31, 2020",0.046,0.009
Asia,,"Feb 1, 2020",0.056,0.01
Asia,,"Feb 2, 2020",0.066,0.01
Asia,,"Feb 3, 2020",0.078,0.012
Asia,,"Feb 4, 2020",0.092,0.014
Asia,,"Feb 5, 2020",0.106,0.014
Asia,,"Feb 6, 2020",0.122,0.016
Asia,,"Feb 7, 2020",0.137,0.016
Asia,,"Feb 8, 2020",0.156,0.019
Asia,,"Feb 9, 2020",0.175,0.019
Asia,,"Feb 10, 2020",0.196,0.021
Asia,,"Feb 11, 2020",0.219,0.023
Asia,,"Feb 12, 2020",0.24,0.021
Asia,,"Feb 13, 2020",0.295,0.055
Asia,,"Feb 14, 2020",0.298,0.003
Asia,,"Feb 15, 2020",0.329,0.031
Asia,,"Feb 16, 2020",0.359,0.031
Asia,,"Feb 17, 2020",0.382,0.023
Asia,,"Feb 18, 2020",0.403,0.021
Asia,,"Feb 19, 2020",0.433,0.03
Asia,,"Feb 20, 2020",0.458,0.025
Asia,,"Feb 21, 2020",0.484,0.026
Asia,,"Feb 22, 2020",0.508,0.024
Asia,,"Feb 23, 2020",0.53,0.022
Asia,,"Feb 24, 2020",0.563,0.033
Asia,,"Feb 25, 2020",0.579,0.016
Asia,,"Feb 26, 2020",0.592,0.012
Asia,,"Feb 27, 2020",0.599,0.008
Asia,,"Feb 28, 2020",0.611,0.011
Asia,,"Feb 29, 2020",0.623,0.012
Asia,,"Mar 1, 2020",0.633,0.01
Asia,,"Mar 2, 2020",0.646,0.013
Asia,,"Mar 3, 2020",0.657,0.011
Asia,,"Mar 4, 2020",0.668,0.011
Asia,,"Mar 5, 2020",0.679,0.011
Asia,,"Mar 6, 2020",0.69,0.012
Asia,,"Mar 7, 2020",0.7,0.01
Asia,,"Mar 8, 2020",0.712,0.012
Asia,,"Mar 9, 2020",0.729,0.017
Asia,,"Mar 10, 2020",0.743,0.014
Asia,,"Mar 11, 2020",0.761,0.019
Asia,,"Mar 12, 2020",0.78,0.019
Asia,,"Mar 13, 2020",0.799,0.019
Asia,,"Mar 14, 2020",0.824,0.025
Asia,,"Mar 15, 2020",0.848,0.024
Asia,,"Mar 16, 2020",0.877,0.029
Asia,,"Mar 17, 2020",0.91,0.032
Asia,,"Mar 18, 2020",0.945,0.035
Asia,,"Mar 19, 2020",0.981,0.036
Asia,,"Mar 20, 2020",1.021,0.04
Asia,,"Mar 21, 2020",1.059,0.038
Asia,,"Mar 22, 2020",1.097,0.037
Asia,,"Mar 23, 2020",1.137,0.04
Asia,,"Mar 24, 2020",1.174,0.037
Asia,,"Mar 25, 2020",1.208,0.034
