,Sintomas,fecha,Cantidad
84,Odinofagia,2020-04-02,118
85,Odinofagia,2020-04-03,144
86,Odinofagia,2020-04-04,159
87,Odinofagia,2020-04-05,174
88,Odinofagia,2020-04-06,185
89,Odinofagia,2020-04-07,201
90,Odinofagia,2020-04-08,215
91,Odinofagia,2020-04-09,245
92,Odinofagia,2020-04-10,279
93,Odinofagia,2020-04-11,307
94,Odinofagia,2020-04-12,311
95,Disnea,2020-03-25,34
96,Disnea,2020-03-26,49
97,Disnea,2020-03-27,62
98,Disnea,2020-03-28,80
99,Disnea,2020-03-29,86
100,Disnea,2020-03-30,99
101,Disnea,2020-03-31,120
102,Disnea,2020-04-01,141
103,Disnea,2020-04-02,149
104,Disnea,2020-04-03,176
105,Disnea,2020-04-04,202
106,Disnea,2020-04-05,226
107,Disnea,2020-04-06,248
108,Disnea,2020-04-07,264
109,Disnea,2020-04-08,285
110,Disnea,2020-04-09,308
111,Disnea,2020-04-10,342
112,Disnea,2020-04-11,358
113,Disnea,2020-04-12,365
114,Diarrea,2020-03-25,7
115,Diarrea,2020-03-26,11
116,Diarrea,2020-03-27,13
117,Diarrea,2020-03-28,18
118,Diarrea,2020-03-29,19
119,Diarrea,2020-03-30,23
120,Diarrea,2020-03-31,28
121,Diarrea,2020-04-01,37
122,Diarrea,2020-04-02,41
123,Diarrea,2020-04-03,50
124,Diarrea,2020-04-04,58
125,Diarrea,2020-04-05,62
126,Diarrea,2020-04-06,66
127,Diarrea,2020-04-07,73
128,Diarrea,2020-04-08,76
129,Diarrea,2020-04-09,87
130,Diarrea,2020-04-10,95
131,Diarrea,2020-04-11,105
132,Diarrea,2020-04-12,108
133,Dolor torácico,2020-03-25,11
134,Dolor torácico,2020-03-26,16
135,Dolor torácico,2020-03-27,17
136,Dolor torácico,2020-03-28,22
137,Dolor torácico,2020-03-29,23
138,Dolor torácico,2020-03-30,26
139,Dolor torácico,2020-03-31,32
140,Dolor torácico,2020-04-01,34
141,Dolor torácico,2020-04-02,36
142,Dolor torácico,2020-04-03,46
143,Dolor torácico,2020-04-04,57
144,Dolor torácico,2020-04-05,63
145,Dolor torácico,2020-04-06,71
146,Dolor torácico,2020-04-07,75
147,Dolor torácico,2020-04-08,84
148,Dolor torácico,2020-04-09,92
149,Dolor torácico,2020-04-10,97
150,Dolor torácico,2020-04-11,103
151,Dolor torácico,2020-04-12,105
152,Taquipnea,2020-03-25,10
153,Taquipnea,2020-03-26,15
154,Taquipnea,2020-03-27,18
155,Taquipnea,2020-03-28,25
156,Taquipnea,2020-03-29,27
157,Taquipnea,2020-03-30,33
158,Taquipnea,2020-03-31,39
159,Taquipnea,2020-04-01,48
160,Taquipnea,2020-04-02,52
161,Taquipnea,2020-04-03,61
162,Taquipnea,2020-04-04,69
163,Taquipnea,2020-04-05,80
164,Taquipnea,2020-04-06,91
165,Taquipnea,2020-04-07,95
166,Taquipnea,2020-04-08,100
167,Taquipnea,2020-04-09,108
168,Taquipnea,2020-04-10,121
169,Taquipnea,2020-04-11,125
170,Taquipnea,2020-04-12,126
171,Dolor abdominal,2020-03-25,3
172,Dolor abdominal,2020-03-26,4
173,Dolor abdominal,2020-03-27,4
174,Dolor abdominal,2020-03-28,7
175,Dolor abdominal,2020-03-29,7
176,Dolor abdominal,2020-03-30,9
177,Dolor abdominal,2020-03-31,12
178,Dolor abdominal,2020-04-01,16
179,Dolor abdominal,2020-04-02,17
180,Dolor abdominal,2020-04-03,21
181,Dolor abdominal,2020-04-04,27
182,Dolor abdominal,2020-04-05,27
183,Dolor abdominal,2020-04-06,27
184,Dolor abdominal,2020-04-07,32
185,Dolor abdominal,2020-04-08,38
186,Dolor abdominal,2020-04-09,43
187,Dolor abdominal,2020-04-10,50
188,Dolor abdominal,2020-04-11,52
189,Dolor abdominal,2020-04-12,53
190,Cianosis,2020-03-25,3
191,Cianosis,2020-03-26,3
192,Cianosis,2020-03-27,4
193,Cianosis,2020-03-28,4
194,Cianosis,2020-03-29,4
195,Cianosis,2020-03-30,6
196,Cianosis,2020-03-31,6
197,Cianosis,2020-04-01,7
198,Cianosis,2020-04-02,7
199,Cianosis,2020-04-03,10
200,Cianosis,2020-04-04,9
201,Cianosis,2020-04-05,10
202,Cianosis,2020-04-06,11
203,Cianosis,2020-04-07,13
204,Cianosis,2020-04-08,13
205,Cianosis,2020-04-09,15
206,Cianosis,2020-04-10,15
207,Cianosis,2020-04-11,16
208,Cianosis,2020-04-12,16
209,Postración,2020-03-25,1
210,Postración,2020-03-26,1
211,Postración,2020-03-27,1
212,Postración,2020-03-28,1
213,Postración,2020-03-29,1
214,Postración,2020-03-30,-
215,Postración,2020-03-31,-
216,Postración,2020-04-01,-
217,Postración,2020-04-02,-
218,Postración,2020-04-03,-
219,Postración,2020-04-04,-
220,Postración,2020-04-05,-
221,Postración,2020-04-06,-
222,Postración,2020-04-07,-
223,Postración,2020-04-08,-
224,Postración,2020-04-09,-
225,Postración,2020-04-10,-
226,Postración,2020-04-11,-
227,Postración,2020-04-12,-
228,Congestión nasal,2020-03-25,-
229,Congestión nasal,2020-03-26,-
230,Congestión nasal,2020-03-27,-
231,Congestión nasal,2020-03-28,-
232,Congestión nasal,2020-03-29,-
233,Congestión nasal,2020-03-30,-
234,Congestión nasal,2020-03-31,-
235,Congestión nasal,2020-04-01,-
236,Congestión nasal,2020-04-02,-
237,Congestión nasal,2020-04-03,-
238,Congestión nasal,2020-04-04,-
239,Congestión nasal,2020-04-05,-
240,Congestión nasal,2020-04-06,-
241,Congestión nasal,2020-04-07,-
242,Congestión nasal,2020-04-08,-
243,Congestión nasal,2020-04-09,-
244,Congestión nasal,2020-04-10,-
245,Congestión nasal,2020-04-11,-
246,Congestión nasal,2020-04-12,-
